GJ001,A区,2019/8/10 12:22,2019/8/10 14:22,40,40,0,D:\Report\A区\GJ001\2019-08-13\A区-GJ001-19-08-13(14-21-30)_Result.xlsx
GJ002,B区,2019/8/11 12:22,2019/8/11 14:22,40,40,0,D:\Report\A区\GJ001\2019-08-13\A区-GJ001-19-08-13(14-21-30)_Result.xlsx
GJ003,C区,2019/8/12 12:22,2019/8/12 14:22,40,40,0,D:\Report\A区\GJ001\2019-08-13\A区-GJ001-19-08-13(14-21-30)_Result.xlsx
GJ001,D区,2019/8/13 12:22,2019/8/13 14:22,40,40,0,D:\Report\A区\GJ001\2019-08-13\A区-GJ001-19-08-13(14-21-30)_Result.xlsx
GJ002,E区,2019/8/14 12:22,2019/8/14 14:22,40,40,0,D:\Report\A区\GJ001\2019-08-13\A区-GJ001-19-08-13(14-21-30)_Result.xlsx
GJ001,A区,2019/8/15 12:22,2019/8/15 14:22,40,40,0,D:\Report\A区\GJ001\2019-08-13\A区-GJ001-19-08-13(14-21-30)_Result.xlsx
GJ002,B区,2019/8/16 12:22,2019/8/16 14:22,40,40,0,D:\Report\A区\GJ001\2019-08-13\A区-GJ001-19-08-13(14-21-30)_Result.xlsx
GJ003,C区,2019/8/17 12:22,2019/8/17 14:22,40,40,0,D:\Report\A区\GJ001\2019-08-13\A区-GJ001-19-08-13(14-21-30)_Result.xlsx
GJ001,D区,2019/8/18 12:22,2019/8/18 14:22,40,40,0,D:\Report\A区\GJ001\2019-08-13\A区-GJ001-19-08-13(14-21-30)_Result.xlsx
GJ002,E区,2019/8/19 12:22,2019/8/19 14:22,40,40,0,D:\Report\A区\GJ001\2019-08-13\A区-GJ001-19-08-13(14-21-30)_Result.xlsx
GJ001,F12A,2019/08/24 13:13:36,2019/08/24 14:13:36,6,3,3,D:\Report\F12A\GJ001\2019_08_24\GJ001_20190824131408.xlsx,
GJ002,F12A,2019/08/24 15:09:34,2019/08/24 15:21:34,6,3,3,D:\Report\F12A\GJ002\2019_08_24\GJ002_20190824151027.xlsx,
GJ002,F12A,2019/08/24 15:35:02,2019/08/24 15:47:02,6,3,3,D:\Report\F12A\GJ002\2019_08_24\GJ002_20190824153621.xlsx,
DEMO,A,2019/10/22 15:52:40,2019/10/22 17:52:40,0,0,0,,
DEMO,A,2019/10/22 16:05:32,2019/10/22 18:05:32,0,0,0,,
TEST,B,2019/10/23 13:33:08,2019/10/23 13:39:08,0,0,0,,
TEST,A,2019/11/07 16:45:05,2019/11/07 16:57:05,26,26,0,,
EUM-200S105DG,A,2020/03/13 09:48:44,2020/03/13 11:48:44,47,47,0,D:\Report\EUM-200S105DG\20200313094914.csv,
EUM-200S105DG,B,2020/03/13 10:03:30,2020/03/13 12:03:30,48,47,1,,
9EFD1K2S740DV7000  4H,A,2021/06/15 20:00:26,2021/06/15 20:01:26,168,168,0,D:\Report\9EFD1K2S740DV7000  4H\20210615200056.csv,
9EFD1K2S740DV7000  4H,A,2021/06/15 20:03:50,2021/06/15 20:04:50,168,168,0,D:\Report\9EFD1K2S740DV7000  4H\20210615200420.csv,
9EFD1K2S740DV7000  4H,A,2021/06/15 20:08:19,2021/06/15 20:09:19,168,168,0,,
9EFD1K2S740DV7000  4H,B,2021/06/16 11:04:02,2021/06/16 15:04:02,164,160,4,D:\Report\9EFD1K2S740DV7000  4H\20210616110432.csv,
9EFD1K2S740DV7000  4H,A,2021/06/16 11:14:25,2021/06/16 15:14:25,180,180,0,D:\Report\9EFD1K2S740DV7000  4H\20210616111455.csv,
9ESM150S420DG3850 1M,B,2021/09/06 15:33:12,2021/09/06 15:34:12,117,117,0,D:\Report\9ESM150S420DG3850 1M\20210906153342.csv,
9ESM150S420DG3850 1M,B,,,32,31,1,D:\Report\9ESM150S420DG3850 1M\20210906154018.csv,
test,A,2024/05/04 11:51:13,2024/05/04 12:11:13,0,0,0,D:\Report\test\20240504115143.csv,
test,A,2024/05/05 09:49:04,2024/05/05 10:09:04,8,8,0,D:\Report\test\20240505094934.csv,
test,A,2024/05/05 10:19:51,2024/05/05 10:39:51,4,4,0,D:\Report\test\20240505102021.csv,
PA-1151-08HT,A,2024/05/16 15:52:51,2024/05/16 17:52:51,8,0,8,D:\Report\PA-1151-08HT\20240516155321.csv,
PA-1151-08HT,A,2024/05/16 15:55:59,2024/05/16 16:55:59,8,0,8,D:\Report\PA-1151-08HT\20240516155617.csv,
PA-1151-08HT,A,2024/05/16 16:00:15,2024/05/16 17:00:15,8,0,8,D:\Report\PA-1151-08HT\20240516160045.csv,
PA-1151-08HT,A,2024/05/16 16:08:03,2024/05/16 17:08:03,8,0,8,D:\Report\PA-1151-08HT\20240516160833.csv,
PA-1151-08HT,A,2024/05/16 16:12:35,2024/05/16 17:12:35,8,0,8,D:\Report\PA-1151-08HT\20240516161305.csv,
PA-1151-08HT,A,2024/05/16 16:14:23,2024/05/16 17:14:23,8,0,8,D:\Report\PA-1151-08HT\20240516161443.csv,
PA-1600-60D4,A,2024/05/17 13:04:12,2024/05/17 13:14:12,4,4,0,D:\Report\PA-1600-60D4\20240517130442.csv,
PA-1600-60D4,A,2024/05/17 16:37:24,2024/05/17 16:47:24,4,4,0,D:\Report\PA-1600-60D4\20240517163754.csv,
PA-1151-08HP,A,2024/05/28 19:27:17,2024/05/28 19:37:17,4,4,0,D:\Report\PA-1151-08HP\20240528192747.csv,
PA-1151-08HP,A,2024/05/28 19:48:39,2024/05/29 03:48:39,4,4,0,,
PA-1151-08HP,A,2024/05/29 09:26:51,2024/05/29 09:32:51,4,4,0,D:\Report\PA-1151-08HP\20240529092721.csv,
PA-1151-08HP,A,2024/05/29 09:43:24,2024/05/29 09:49:24,4,4,0,D:\Report\PA-1151-08HP\20240529094354.csv,
PA-1600-61D2,A,2024/05/29 17:21:18,2024/05/29 17:31:18,171,3,168,D:\Report\PA-1600-61D2\20240529172148.csv,
PA-1600-61D2,A,2024/05/29 17:49:30,2024/05/29 18:59:30,171,3,168,D:\Report\PA-1600-61D2\20240529174949.csv,
PA-1600-61D2,B,2024/05/29 17:49:30,2024/05/29 18:59:30,171,3,168,D:\Report\PA-1600-61D2\20240529174949.csv,
PA-1151-08HP,A,2024/05/30 16:02:42,2024/05/30 16:08:42,4,4,0,D:\Report\PA-1151-08HP\20240530160616.csv,
PA-1151-08HP,B,2024/05/30 16:09:39,2024/05/30 16:15:39,4,4,0,,
PA-1151-08HP,A,2024/05/30 16:22:27,2024/05/30 16:28:27,4,4,0,D:\Report\PA-1151-08HP\20240530162257.csv,
